,출원번호,출원일,등록번호,등록일
313,17/735008,2022-05-02, , 
314,17/860620,2022-07-08, , 
315,17/554663,2021-12-17, , 
316,17/322664,2021-05-17, , 
317,17/307920,2021-05-04, , 
318,17/853352,2022-06-29, , 
319,17/816702,2022-08-01, , 
320,17/826546,2022-05-27, , 
321,17/742168,2022-05-11, , 
322,17/585343,2022-01-26,11499945,2022-11-15
323,17/408457,2021-08-22,11500468,2022-11-15
324,17/154380,2021-01-21,11501341,2022-11-15
325,17/023845,2020-09-17,11501426,2022-11-15
326,17/185558,2021-02-25,11501489,2022-11-15
327,17/444694,2021-08-09,11501749,2022-11-15
328,16/261931,2019-01-30,11503045,2022-11-15
329,16/254527,2019-01-22,11503422,2022-11-15
330,17/314367,2021-05-07, , 
331,17/722906,2022-04-18, , 
332,17/623538,2019-07-01, , 
333,17/485476,2021-09-26,11491395,2022-11-08
334,16/189116,2018-11-13,11493908,2022-11-08
335,16/450195,2019-06-24,11494252,2022-11-08
336,16/558639,2019-09-03,11494618,2022-11-08
337,16/937675,2020-07-24,11494951,2022-11-08
338,17/712812,2022-04-04,11496571,2022-11-08
339,17/724239,2022-04-19, , 
340,17/026342,2020-07-10, , 
341,17/703278,2022-03-24, , 
342,17/864985,2022-07-14, , 
343,17/660469,2022-04-25, , 
344,17/707868,2022-03-29, , 
345,17/245864,2021-04-30, , 
346,17/866537,2022-07-17, , 
347,17/865765,2022-07-15, , 
348,17/306086,2021-05-03, , 
349,17/749789,2022-05-20, , 
350,17/724454,2022-04-19, , 
351,16/784084,2020-02-06,11485377,2022-11-01
352,16/854736,2020-04-21,11486722,2022-11-01
353,16/264657,2019-01-31,11488176,2022-11-01
354,17/237282,2021-04-22, , 
355,17/760870,2020-09-02, , 
356,17/726416,2022-04-21, , 
357,17/699259,2022-03-21, , 
358,17/761732,2020-09-23, , 
359,17/864123,2022-07-13, , 
360,17/236949,2021-04-21, , 
361,17/765351,2019-11-26, , 
362,17/302144,2021-04-26, , 
363,17/764875,2020-09-22, , 
364,17/853359,2022-06-29, , 
365,17/240305,2021-04-26, , 
366,17/709147,2022-03-30,11480791,2022-10-25
367,16/824220,2020-03-19,11481023,2022-10-25
368,16/922945,2020-07-07,11481931,2022-10-25
369,17/713906,2022-04-05,11481963,2022-10-25
370,17/105463,2020-11-25,11481983,2022-10-25
371,17/086306,2020-10-30,11482002,2022-10-25
372,17/373559,2021-07-12,11483569,2022-10-25
373,17/235607,2021-04-20, , 
374,17/273221,2019-09-03, , 
375,17/657487,2022-03-31, , 
376,17/762837,2019-09-24, , 
377,17/224372,2021-04-07, , 
378,17/720149,2022-04-13, , 
379,17/723226,2022-04-18, , 
380,17/234899,2021-04-20, , 
381,17/230668,2021-04-14, , 
382,17/234510,2021-04-19, , 
383,17/301811,2021-04-15, , 
384,17/721947,2022-04-15, , 
385,17/414346,2019-06-12,11474603,2022-10-18
386,16/927886,2020-07-13,11475625,2022-10-18
387,16/920119,2020-07-02,11475634,2022-10-18
388,17/127022,2020-12-18,11475642,2022-10-18
389,17/711299,2022-04-01,11475650,2022-10-18
390,17/451370,2021-10-19,11475766,2022-10-18
391,16/680027,2019-11-11,11475781,2022-10-18
392,17/477230,2021-09-16,11477279,2022-10-18
393,17/332826,2021-05-27,11477600,2022-10-18
394,17/251092,2020-09-08, , 
395,17/716748,2022-04-08, , 
396,17/709611,2022-03-31, , 
397,17/845170,2022-06-21, , 
398,17/728047,2022-04-25, , 
399,17/228162,2021-04-12, , 
400,17/639200,2020-08-28, , 
401,17/716439,2022-04-08, , 
402,17/228191,2021-04-12, , 
403,16/774799,2020-01-28,11464581,2022-10-11
404,16/399999,2019-04-30,11467794,2022-10-11
405,16/007693,2018-06-13,11468215,2022-10-11
406,17/005032,2020-08-27,11468643,2022-10-11
407,17/846259,2022-06-22, , 
408,17/219615,2021-03-31, , 
409,17/223681,2021-04-06, , 
410,17/219540,2021-03-31, , 
411,17/568111,2022-01-04, , 
412,17/676944,2022-02-22, , 
413,17/477713,2021-09-17, , 
414,17/222723,2021-04-05, , 
415,17/683120,2022-02-28, , 
416,17/655785,2022-03-21, , 
417,17/711119,2022-04-01, , 
418,17/220738,2021-04-01, , 
419,16/399986,2019-04-30,11461408,2022-10-04
420,17/167846,2021-02-04,11461578,2022-10-04
421,17/222027,2021-04-05,11461960,2022-10-04
422,17/146589,2021-01-12,11461981,2022-10-04
423,17/159955,2021-01-27,11461986,2022-10-04
424,16/809964,2020-03-05,11462331,2022-10-04
425,17/459707,2021-08-27,11463322,2022-10-04
426,17/836095,2022-06-09, , 
427,17/683145,2022-02-28, , 
428,17/841780,2022-06-16, , 
429,17/212017,2021-03-25, , 
430,17/365425,2021-07-01, , 
431,17/212653,2021-03-25, , 
432,17/841879,2022-06-16, , 
433,16/960116,2019-01-14,11454947,2022-09-27
434,17/547285,2021-12-10,11455767,2022-09-27
435,17/833185,2022-06-06, , 
436,17/619735,2020-06-26, , 
437,17/638972,2020-09-04, , 
438,17/203607,2021-03-16, , 
439,17/832792,2022-06-06, , 
440,17/457408,2021-12-02, , 
441,17/655024,2022-03-16, , 
442,17/725293,2022-04-20,11446466,2022-09-20
443,17/674171,2022-02-17,11448389,2022-09-20
444,17/211425,2021-03-24,11449022,2022-09-20
445,16/941412,2020-07-28,11449131,2022-09-20
446,16/693621,2019-11-25,11449811,2022-09-20
447,17/734275,2022-05-02, , 
448,17/576663,2022-01-14, , 
449,17/459618,2021-08-27, , 
450,17/693232,2022-03-11, , 
451,17/804394,2022-05-27, , 
452,17/198813,2021-03-11, , 
453,16/936293,2020-07-22,11442538,2022-09-13
454,16/661513,2019-10-23,11444974,2022-09-13
455,16/911581,2020-06-25,11445339,2022-09-13
456,17/824080,2022-05-25, , 
457,17/700188,2022-03-21, , 
458,17/546905,2021-12-09, , 
459,17/650046,2022-02-04, , 
460,17/681119,2022-02-25, , 
461,17/685816,2022-03-03, , 
462,17/637736,2020-09-09, , 
463,17/685869,2022-03-03, , 
464,17/636055,2019-08-19, , 
465,17/653018,2022-03-01, , 
466,16/694080,2019-11-25,11433977,2022-09-06
467,16/903641,2020-06-17,11435402,2022-09-06
468,16/746517,2020-01-17,11436567,2022-09-06
469,16/880915,2020-05-21,11436757,2022-09-06
